testcase,npernode,nprocs,image_size,total_weight,target_per_proc,scatter_time,avg_render_time,composite_time,total_time
imbalance_c100000,1,4,76800,3709266845.74,927316711.43,0.034435,0.233142,0.307846,0.575423000
imbalance_c100000,2,8,76800,3709266845.74,463658355.72,0.045102,0.116783,0.200251,0.362136000
imbalance_c100000,4,16,76800,3709266845.74,231829177.86,0.078723,0.059799,0.165701,0.304223000
imbalance_c100000,8,32,76800,3709266845.74,115914588.93,0.125373,0.031179,0.125728,0.282280000
imbalance_c100000,12,48,76800,3709266845.74,77276392.62,0.185880,0.022229,0.107301,0.315410000
imbalance_c100000,16,64,76800,3709266845.74,57957294.46,0.876994,0.015116,0.108348,1.000458000
medium_c200000,1,4,307200,28027119.93,7006779.98,0.051445,0.310700,0.463938,0.826083000
medium_c200000,2,8,307200,28027119.93,3503389.99,0.068941,0.155330,0.296236,0.520507000
medium_c200000,4,16,307200,28027119.93,1751695.00,0.083652,0.078193,0.239001,0.400846000
medium_c200000,8,32,307200,28027119.93,875847.50,0.120021,0.042719,0.212679,0.375419000
medium_c200000,12,48,307200,28027119.93,583898.33,0.164654,0.030162,0.181831,0.376647000
medium_c200000,16,64,307200,28027119.93,437923.75,0.878581,0.021224,0.174625,1.074430000
large_c1000000,1,4,307200,140305555.48,35076388.87,0.066610,1.541042,1.785914,3.393566000
large_c1000000,2,8,307200,140305555.48,17538194.44,0.078882,0.776712,0.959712,1.815306000
large_c1000000,4,16,307200,140305555.48,8769097.22,0.148926,0.388835,0.573849,1.111610000
large_c1000000,8,32,307200,140305555.48,4384548.61,0.201186,0.200767,0.363473,0.765426000
large_c1000000,12,48,307200,140305555.48,2923032.41,0.256747,0.135930,0.291741,0.684418000
large_c1000000,16,64,307200,140305555.48,2192274.30,0.942744,0.103087,0.248405,1.294236000
large_c2000000,1,4,307200,280806826.90,70201706.72,4.226376,1.976577,2.119002,8.321955000
large_c2000000,2,8,307200,280806826.90,35100853.36,0.113911,1.463433,1.677683,3.255027000
large_c2000000,4,16,307200,280806826.90,17550426.68,0.184799,0.776288,0.990381,1.951468000
large_c2000000,8,32,307200,280806826.90,8775213.34,0.239639,0.392506,0.575697,1.207842000
large_c2000000,12,48,307200,280806826.90,5850142.23,0.343457,0.264518,0.434735,1.042710000
large_c2000000,16,64,307200,280806826.90,4387606.67,1.054784,0.198254,0.349036,1.602074000
large_c4000000,1,4,307200,561477667.03,140369416.76,2.192060,4.452199,4.228051,10.872310000
large_c4000000,2,8,307200,561477667.03,70184708.38,1.740784,2.705141,3.401966,7.847891000
large_c4000000,4,16,307200,561477667.03,35092354.19,0.250109,1.398346,1.857000,3.505455000
large_c4000000,8,32,307200,561477667.03,17546177.09,0.311742,0.777174,0.990526,2.079442000
large_c4000000,12,48,307200,561477667.03,11697451.40,0.402040,0.522116,0.720216,1.644372000
large_c4000000,16,64,307200,561477667.03,8773088.55,1.269898,0.395825,0.550536,2.216259000
