testcase,image_size,total_weight,total_render_time
imbalance_c100000,76800,3709266845.74,1.999812
medium_c200000,307200,28027119.93,2.114220
large_c1000000,307200,140305555.48,7.353983
large_c2000000,307200,280806826.90,13.723594
large_c4000000,307200,561477667.03,27.416837
